Pop,IndID,Cap,Brac_RowNr,SerBrac_RowNr,Brac_appress,Brac_Color,SerBrac_yes_no,Brac_Len,Brac_Wid,BracApCen_Len,BracApCen_Wid
CH,3,1,8,0,1,2,no,233.65,61.85,71.78,46.84
CH,11,1,6,0,2,2,no,171.98,105.22,83.6,53.94
CH,17,1,8,0,1,1,no,200.49,82.98,58.55,39.12
CH,17,2,9,0,1,1,no,184.88,84.9,51.89,31.78
DF,1,1,7,0,1,2,no,214.45,97.42,63.25,37.36
DF,10,1,8,0,1,2,no,230.71,81.01,60.01,34.48
DF,10,2,7,0,1,2,no,214.08,102.18,71.34,51.01
DF,25,1,7,0,1,1,no,248.87,125.16,62.17,38.64
DF,25,2,6,0,1,1,no,301.1,98.33,64.63,52.47
FC,3,1,7,0,1,2,no,291.03,94.05,64.03,36.67
FC,14,1,8,0,1,2,no,231.37,104.04,75.43,55.03
FC,22,1,6,0,1,2,no,212.02,93.43,72.25,57.22
FC,22,2,7,0,1,1,no,210.94,81.05,53.6,37.05
HV,1,1,7,0,1,2,no,187.36,111,85.33,91.08
HV,1,2,9,0,1,2,no,210.69,65.31,52.77,44.72
HV,4,1,7,0,2,2,no,232.22,87.21,58.14,50.02
HV,4,2,6,0,3,2,no,290.06,112.45,80.96,62.51
HV,8,1,6,0,2,2,no,240.13,105.39,64.76,83.29
HV,8,2,5,0,2,1,no,241.92,111.4,88.77,81.25
HV,11,1,5,0,1,1,no,199.85,126.92,75.69,78.77
HV,11,2,9,1,1,1,no,231.81,102.59,82.49,86.15
HV,20,1,8,0,2,3,no,243.02,87.21,78.41,61.01
HV,20,2,7,0,1,3,no,252.2,81.06,61.4,54.01
PR,3,1,6,0,2,2,no,203.85,102.08,77.32,62.8
PR,3,2,6,0,1,2,no,195.56,114.27,73.74,61.13
PR,4,1,7,0,1,2,no,228.71,132.02,80.16,84.01
PR,4,2,9,0,1,1,no,220.66,116.73,85.38,61.29
PR,12,1,7,0,1,2,no,205.83,139.36,82.1,71.61
PR,12,2,7,0,2,2,no,199.33,132.38,87.01,85.15
PR,18,1,6,0,2,2,no,251.24,127.1,102.2,87.09
PR,18,2,7,0,2,2,no,190.97,112.61,82.15,63.25
